Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
64857.ndpi,a0ca22f0-abf1-4ccf-8c7e-b689c9aba757,TISSUE,TISSUE,Image,Geometry,15240.8,12739.7,285176545.7,169450.4
64856.ndpi,2d631e00-b736-4f41-b0c3-cc65ff89abe1,TISSUE,TISSUE,Image,Polygon,12977.8,10285.7,160251830.5,
64854.ndpi,8c577c3d-d095-4d41-af6b-e27d205316be,TISSUE,TISSUE,Image,Polygon,14879.2,8499.4,236822139.1,147743.1
64853.ndpi,a2c74e39-fe1a-459c-af7f-2615821dd843,TISSUE,TISSUE,Image,Geometry,13719.6,9730.2,209416449.7,140922.3
64852.ndpi,47f2919a-cf68-48c2-b1e8-6b4463896cf1,TISSUE,TISSUE,Image,Geometry,14440.8,9077.7,207747071.9,556800.9
64851.ndpi,6c210a99-6b8a-415e-97e4-1b9c87019d8b,TISSUE,TISSUE,Image,Geometry,14773.1,9714,150729515.3,135362.1
16049-8-3401002.ndpi,bd262b61-431b-4b06-a479-2c64d5957a0b,TISSUE,TISSUE,Image,Geometry,10274.5,11383.3,158252908,291377.9
16049-7-16110141B00301002.ndpi,55d6bcd9-8097-425d-8f3a-bbfc52798e3f,TISSUE,TISSUE,Image,Polygon,14339.8,10797,217280120.9,185505.1
16049-6-3301002.ndpi,140db307-bad9-408b-b841-3f14912c2253,TISSUE,TISSUE,Image,Geometry,14445,10166.1,153897219.1,370766.4
16049-5-16110141B00201002.ndpi,02649115-360f-49b7-8741-dceec177dc31,TISSUE,TISSUE,Image,Geometry,11557.7,11827.6,267113529.6,217559
16049-3-3201002.ndpi,b28180e2-b0f5-447b-8948-01d2a295532e,TISSUE,TISSUE,Image,Geometry,13280.5,10565.6,194666144.5,252192.3
16049-2-3101002.ndpi,294efa22-e973-4127-b35d-3346366794f4,TISSUE,TISSUE,Image,Geometry,13926.6,12782.7,205225988.6,535275.9
16049-10-16110141B00401002.ndpi,0ffbdb6a-4890-40f8-9e1e-bf661630ad01,TISSUE,TISSUE,Image,Geometry,13760.7,11631.4,233682964.2,247373.1
16045-9-16110141B01301002.ndpi,88a931c6-b0ff-42b6-9505-434520d62742,TISSUE,TISSUE,Image,Geometry,11808.8,11258.8,210038735.2,263273.7
16045-8-16110141B01201002.ndpi,5c1ebaf9-8a0d-4437-a2ef-5f279dc45e9e,TISSUE,TISSUE,Image,Geometry,15463.4,12083.6,218662823.2,147352.1
16045-16-701002.ndpi,0ec94a7a-0dda-4092-99b9-38abf13eb1ff,TISSUE,TISSUE,Image,Geometry,14833,10227.4,225586168.2,239688
16045-7-401003.ndpi,ca2894e2-997f-4901-9207-e541c235dcd0,TISSUE,TISSUE,Image,Geometry,14602.3,9548.3,163865713.7,592999.6
16045-6-301002.ndpi,c899b86d-d5fe-46db-a08b-22d5670a6541,TISSUE,TISSUE,Image,Geometry,13235.6,8126,162923776.9,281185.9
16045-5-16110141B01101002.ndpi,0b4e705f-eba4-45e2-ae06-fc2fbf8caa2b,TISSUE,TISSUE,Image,Geometry,18265.2,9248.8,142765992,212340
16045-50-16110141B02401002.ndpi,e2cecce9-cf09-4380-96bf-23304a0167a0,TISSUE,TISSUE,Image,Polygon,11942.7,8686.7,174781366.7,121813.3
16045-4-201002.ndpi,514f0384-490b-419a-aecc-ae3f723f330e,TISSUE,TISSUE,Image,Geometry,13560.2,11034.8,192079316.4,315026.4
16045-32-1701002.ndpi,54e2198f-f3c1-473c-a687-9d9fc64f60b6,TISSUE,TISSUE,Image,Polygon,14358,7492.1,205006118.2,111854.4
16045-3-16110141B01001002.ndpi,b9f17018-e8a5-4357-b6cb-6ea4d6f6a17b,TISSUE,TISSUE,Image,Geometry,15215.4,7749.9,149366414,308663.2
16045-31-16110141B02201002.ndpi,60cdcd1a-fe19-41e2-b48f-f23124326218,TISSUE,TISSUE,Image,Polygon,14594.6,9269.6,264682186.1,138868.5
16045-29-16110141B02101002.ndpi,3ed61ae5-9c0f-4c94-bfe0-08896f82669e,TISSUE,TISSUE,Image,Polygon,9998.9,10240.3,125738904.3,95176.8
16045-28-16110141B02001002.ndpi,d1c8ce63-3c72-49c6-a29a-3311b96765b1,TISSUE,TISSUE,Image,Polygon,9596.6,13133.7,155794191.7,107838.7
16045-25-1301002.ndpi,ed0c55e7-da13-4a66-a6bd-2618c1169ac9,TISSUE,TISSUE,Image,Polygon,13035.1,10756.4,221116943.6,179516.5
16045-24-16110141B01901002.ndpi,fd7970cd-8204-4946-8cc7-8a7da7e5a4c9,TISSUE,TISSUE,Image,Polygon,10546.7,9018.8,132911794.4,90197.2
16045-23-16110141B01801002.ndpi,008e7c55-383b-4268-a18e-5f180519eb6b,TISSUE,TISSUE,Image,Polygon,10663.3,11590.6,199702164.7,125267.1
16045-22-16110141B01701002.ndpi,75fdfe2f-8013-4256-ac0f-75853d09413e,TISSUE,TISSUE,Image,Polygon,8561.1,8276.2,164880611.5,122777.2
16045-2-16110141B00901002.ndpi,17e98331-989c-4b3c-9251-bcd3106af8e1,TISSUE,TISSUE,Image,Geometry,15861.3,14330.9,184802631.4,305296.3
16045-21-1201002.ndpi,18ae1d6f-d5a7-47a6-9646-09210306d956,TISSUE,TISSUE,Image,Geometry,12034.7,10378.9,147309486.8,389351
16045-20-1101002.ndpi,9c24714d-9bb7-4b58-b7f7-d9a33f90d71c,TISSUE,TISSUE,Image,Polygon,12093.3,9334,184082767.3,106537.8
16045-19-1001002.ndpi,2f97f28c-08f6-4da7-9be8-a77c55aca6a4,TISSUE,TISSUE,Image,Geometry,14976.6,9597,218580896.3,159520.6
16045-18-901002.ndpi,0a11db16-bd9b-469d-bcd5-f93371df5003,TISSUE,TISSUE,Image,Geometry,14235.6,7851.1,173764387.4,218562.1
16045-17-801002.ndpi,d885f0c7-2238-4491-a381-59ed359470fe,TISSUE,TISSUE,Image,Geometry,14750.5,10026.2,157007949.2,301554.7
16045-14-16110141B01601002.ndpi,f3715f47-4fa2-441b-ad75-e54fbaaa5b6a,TISSUE,TISSUE,Image,Geometry,11640.2,9187.1,215630034.1,179089
16045-13-601002.ndpi,450f8191-e302-4695-92e3-97443d0baca5,TISSUE,TISSUE,Image,Geometry,9824.5,10752.7,102600972.5,219852.8
16045-11-16110141B01501002.ndpi,3f9b6b3a-1792-41c0-91f5-1a820068469d,TISSUE,TISSUE,Image,Geometry,12471.2,9654.1,199267808.5,159052.6
16045-1-101002.ndpi,c57a5e3d-5757-479e-a107-3f3ac3591edc,TISSUE,TISSUE,Image,Geometry,14782.2,10512.1,219142887.5,253104.6
16045-10-16110141B01401002.ndpi,82a27981-8dbc-46a8-99ae-e5ce92e39601,TISSUE,TISSUE,Image,Geometry,13777,9413.8,187553132.8,189813.8
